1,Παντελής Αγγελέτος,2108624473,Πατησίων 239,Μαγαζί με μπαχαρικά
2,Βόβλας Λάμπρος ,2112148137,Τραπεζούντος 47 Υμηττός ,Μίνι μάρκετ
3,Δήμου Γεώργιος,2108676801,Αριστομένους 138 Αθήνα,Αρτοποιείο
4,ΔΈΚΑ ΤΡΌΦΙΜΑ ΕΠΕ,2109654610,Αναργυρούντος 22 Βάρη,Σούπερ μάρκετ Κρεάτων
5,Ζαγκλής Ιωάννης ,2109234924,Ευδόξου 30 Νέος Κόσμος,Κάβα ποτών
6,ΚΡΕ.ΠΑΠ.ΕΠΕ ,2105756788,Θηβών 263 Περιστέρι,Σούπερ μάρκετ Κρεάτων
7,ΚΡΕ.ΠΑΠ.ΕΠΕ ,2105061242,Καρύστου 2 Πετρούπολη,
8,ΚΡΕ.ΠΑΠ.ΕΠΕ ,2105761001,Αγίου Ιεροθέου 108 Περιστέρι,
9,ΚΡΕ.ΠΑΠ.ΕΠΕ ,2105622411,Σίφνου 59 Αγία Βαρβάρα Αιγάλεω,
10,Το Ζυμομέλι (Λαμπρινού Ελένη) ,2109818440,Ζησιμοπούλου 107 Παλαιό Φάληρο,Παραδοσιακά προϊόντα
11,Κοττή Φωτεινή ,2109615233,Κρώμνης 46 Αργυρούπολη,Μίνι μάρκετ
12,Καραγιώργος Γεώργιος ,2106922542,Βαρνακιώτη 4 Αμπελόκηποι ,Κρεοπωλείο
13,Ο Αρωδαμός ,2109757866,Αγίου Δημητρίου 88 Άγιος Δημήτριος,
14,Αγνές Γεύσεις Αρκάδων ,2130335955,Στρατηγού Καραϊσκάκη 36 Χαϊδάρι,
15,Λαγός Χρήστος -2109962035,,Ηρώων Πολυτεχνείου 55 Ηλιούπολη ,Κρεοπωλείο
16,Η Στρούγκα του Μοριά ,103216351,Ευριπίδου 21 ,Τυροκομικά προϊόντα Μπίτσικας
17,Τσιπλαντώνης Βαρύτης ,106813717,κράτους 3 Χαλάνδρι,Κάβα
18,Γαλανάκης Δημήτριος,,Άρτης 12 Παλαιά Κοκκινιά ,Πρατήριο Άρτου
